Scale Name,Scale Abreviation,Harm Component,Harm Sub-Component,Harm Indicator,Item,Recall Period,Dichotomous or Polytomous?,Response Options,Harm/Behaviour/Opportunity Cost*,Authors,Citation
DSM-IV diagnotistic criteria for Pathological Gambling,DSM-IV,Health,Mental,Frequency - thoughts,"Have you spent a lot of time thinking about past gambling experiences, planning your next gambling activity, or thinking of ways to get money to gamble?",in the past 12 months…,Dichotomous,No; Yes,Harm,Stinchfield et al. ,"Stinchfield, R., Govoni, R., & Ron Frisch, G. (2005). DSM-IV diagnostic criteria for pathological gambling: Reliability, validity, and classification accuracy. American Journal on Addictions, 14(1), 73-82."
DSM-IV diagnotistic criteria for Pathological Gambling,DSM-IV,Health,Mental,Size of bet,Have you needed to gamble with larger amounts of money or with larger bets in order to obtain the same feeling of excitement?,in the past 12 months…,Dichotomous,No; Yes,Behaviour,Stinchfield et al. ,"Stinchfield, R., Govoni, R., & Ron Frisch, G. (2005). DSM-IV diagnostic criteria for pathological gambling: Reliability, validity, and classification accuracy. American Journal on Addictions, 14(1), 73-82."
DSM-IV diagnotistic criteria for Pathological Gambling,DSM-IV,Uncontrolled Gambling,Uncontrolled Gambling,Attempts to stop,"Have you tried to control, cut back, or stop gambling several times and were unsuccessful? For example, setting a money or time limit for yourself and then going over it",in the past 12 months…,Dichotomous,No; Yes,Behaviour,Stinchfield et al. ,"Stinchfield, R., Govoni, R., & Ron Frisch, G. (2005). DSM-IV diagnostic criteria for pathological gambling: Reliability, validity, and classification accuracy. American Journal on Addictions, 14(1), 73-82."
DSM-IV diagnotistic criteria for Pathological Gambling,DSM-IV,Health,Mental,Negative effects of stopping,Have you felt restless or irritable when you tried to cut down or stop gambling?,in the past 12 months…,Dichotomous,No; Yes,Harm,Stinchfield et al. ,"Stinchfield, R., Govoni, R., & Ron Frisch, G. (2005). DSM-IV diagnostic criteria for pathological gambling: Reliability, validity, and classification accuracy. American Journal on Addictions, 14(1), 73-82."
DSM-IV diagnotistic criteria for Pathological Gambling,DSM-IV,Health,Mental,Need to gamble,"Do you feel that your gambling was a way of avoiding or escaping from personal problems or a way of relieving uncomfortable emotions, such as feelings of nervousness, helplessness, guilt, anxiousness or sadness?",in the past 12 months…,Dichotomous,No; Yes,Harm,Stinchfield et al. ,"Stinchfield, R., Govoni, R., & Ron Frisch, G. (2005). DSM-IV diagnostic criteria for pathological gambling: Reliability, validity, and classification accuracy. American Journal on Addictions, 14(1), 73-82."
DSM-IV diagnotistic criteria for Pathological Gambling,DSM-IV,Resources,Finances,returning to gamble," After you lose money gambling, do you often return another day to get even or try to win back your losses?",in the past 12 months…,Dichotomous,No; Yes,Behaviour,Stinchfield et al. ,"Stinchfield, R., Govoni, R., & Ron Frisch, G. (2005). DSM-IV diagnostic criteria for pathological gambling: Reliability, validity, and classification accuracy. American Journal on Addictions, 14(1), 73-82."
DSM-IV diagnotistic criteria for Pathological Gambling,DSM-IV,Relationships,Close/Personal,Lying/Hiding gambling,"Have you lied to family members, therapists, or others to hide your gambling from them?",in the past 12 months…,Dichotomous,No; Yes,Behaviour,Stinchfield et al. ,"Stinchfield, R., Govoni, R., & Ron Frisch, G. (2005). DSM-IV diagnostic criteria for pathological gambling: Reliability, validity, and classification accuracy. American Journal on Addictions, 14(1), 73-82."
DSM-IV diagnotistic criteria for Pathological Gambling,DSM-IV,Resources,Crime,Crime related to gambling,"Have you committed any illegal acts such as forgery, fraud, theft, or embezzlement to get money to gamble or to pay gambling debts?",in the past 12 months…,Dichotomous,No; Yes,Behaviour,Stinchfield et al. ,"Stinchfield, R., Govoni, R., & Ron Frisch, G. (2005). DSM-IV diagnostic criteria for pathological gambling: Reliability, validity, and classification accuracy. American Journal on Addictions, 14(1), 73-82."
DSM-IV diagnotistic criteria for Pathological Gambling,DSM-IV,Relationships,Close/Personal,Damaged relationships,"Have you risked or lost a relationship with someone important to you, or a job, or career opportunity because of gambling?",in the past 12 months…,Dichotomous,No; Yes,Harm,Stinchfield et al. ,"Stinchfield, R., Govoni, R., & Ron Frisch, G. (2005). DSM-IV diagnostic criteria for pathological gambling: Reliability, validity, and classification accuracy. American Journal on Addictions, 14(1), 73-82."
DSM-IV diagnotistic criteria for Pathological Gambling,DSM-IV,Resources,Finances,Borrowing,Have you relied on others to pay your gambling debts or to pay your bills when you had financial problems caused by your gambling?,in the past 12 months…,Dichotomous,No; Yes,Harm,Stinchfield et al. ,"Stinchfield, R., Govoni, R., & Ron Frisch, G. (2005). DSM-IV diagnostic criteria for pathological gambling: Reliability, validity, and classification accuracy. American Journal on Addictions, 14(1), 73-82."
Gambling Commission Gambling Related Harms,GCGRH,Resources,Finances,Borrowing,...have you borrowed money or sold anything to get money to gamble? ,in the past 12 months…,Polytomous,Almost always; most of the time; sometimes; never,Opportunity Cost,Wardle et al. ,"Wardle, H., Kesaite, V., Williams, R., & Volberg, R. (2022). Developing survey questions capturing gambling-related harms."
Gambling Commission Gambling Related Harms,GCGRH,Health,Mental,Impact on Health,"..have you felt that gambling has caused you any health problems, including stress or anxiety? ",in the past 12 months…,Polytomous,Almost always; most of the time; sometimes; never,Harm,Wardle et al. ,"Wardle, H., Kesaite, V., Williams, R., & Volberg, R. (2022). Developing survey questions capturing gambling-related harms."
Gambling Commission Gambling Related Harms,GCGRH,Health,Mental,Guilt,..have you felt guilty about the way you gamble or what happens when you gamble? ,in the past 12 months…,Polytomous,Almost always; most of the time; sometimes; never,Behaviour,Wardle et al. ,"Wardle, H., Kesaite, V., Williams, R., & Volberg, R. (2022). Developing survey questions capturing gambling-related harms."
Gambling Commission Gambling Related Harms,GCGRH,Resources,Finances,Less spending,"…reduce or cut back your spending on everday items such as food, bills and clothing?","Thinking about your own gambling, how often in the last 12 months has your own gambling led you to…",Polytomous,Very Often; Fairly Often; Occasionally; Never,Opportunity Cost,Wardle et al. ,"Wardle, H., Kesaite, V., Williams, R., & Volberg, R. (2022). Developing survey questions capturing gambling-related harms."
Gambling Commission Gambling Related Harms,GCGRH,Resources,Finances,Borrowing,…use savings or borrow money e.g. from family/friends; credit cards; overdraft/loans; money lenders?,"Thinking about your own gambling, how often in the last 12 months has your own gambling led you to…",Polytomous,Very Often; Fairly Often; Occasionally; Never,Behaviour,Wardle et al. ,"Wardle, H., Kesaite, V., Williams, R., & Volberg, R. (2022). Developing survey questions capturing gambling-related harms."
Gambling Commission Gambling Related Harms,GCGRH,Relationships,Close/Personal,Relationship Tension,"…experience conflict or arguments with friends, family and/or work colleagues?","Thinking about your own gambling, how often in the last 12 months has your own gambling led you to…",Polytomous,Very Often; Fairly Often; Occasionally; Never,Harm,Wardle et al. ,"Wardle, H., Kesaite, V., Williams, R., & Volberg, R. (2022). Developing survey questions capturing gambling-related harms."
Gambling Commission Gambling Related Harms,GCGRH,Relationships,Social,Social isolation,"…feel isolated from other people, left out or feel completely alone?","Thinking about your own gambling, how often in the last 12 months has your own gambling led you to…",Polytomous,Very Often; Fairly Often; Occasionally; Never,Harm,Wardle et al. ,"Wardle, H., Kesaite, V., Williams, R., & Volberg, R. (2022). Developing survey questions capturing gambling-related harms."
Gambling Commission Gambling Related Harms,GCGRH,Relationships,Close/Personal,lying to others,"…lie to family, or others, to hide the extent of your gambling?","Thinking about your own gambling, how often in the last 12 months has your own gambling led you to…",Polytomous,Very Often; Fairly Often; Occasionally; Never,Harm,Wardle et al. ,"Wardle, H., Kesaite, V., Williams, R., & Volberg, R. (2022). Developing survey questions capturing gambling-related harms."
Gambling Commission Gambling Related Harms,GCGRH,Resources,Work & Study,Missed work,…be absent or perform poorly at work or study?,"Thinking about your own gambling, how often in the last 12 months has your own gambling led you to…",Polytomous,Very Often; Fairly Often; Occasionally; Never,Harm,Wardle et al. ,"Wardle, H., Kesaite, V., Williams, R., & Volberg, R. (2022). Developing survey questions capturing gambling-related harms."
Gambling Commission Gambling Related Harms,GCGRH,Resources,Finances,Financial crisis,"…have you lost something of significant financial value such as your home, business, car or been declared bankrupt because of your own gambling?",in the past 12 months…,Dichotomous,No; Yes,Harm,Wardle et al. ,"Wardle, H., Kesaite, V., Williams, R., & Volberg, R. (2022). Developing survey questions capturing gambling-related harms."
Gambling Commission Gambling Related Harms,GCGRH,Relationships,Close/Personal,Relationship breakdown,"…has your relationship with someone close to you, such as spouse, partner, family member or friend broken down because of your own gambling?",in the past 12 months…,Dichotomous,No; Yes,Harm,Wardle et al. ,"Wardle, H., Kesaite, V., Williams, R., & Volberg, R. (2022). Developing survey questions capturing gambling-related harms."
Gambling Commission Gambling Related Harms,GCGRH,Relationships,Crime,Violent crime related to gambling,…have you experienced violence or abuse because of your own gambling?,in the past 12 months…,Dichotomous,No; Yes,Harm,Wardle et al. ,"Wardle, H., Kesaite, V., Williams, R., & Volberg, R. (2022). Developing survey questions capturing gambling-related harms."
Gambling Commission Gambling Related Harms,GCGRH,Resources,Crime,Crime related to gambling,…have you commited a crime in order to finance gambling or to pay gambling debts?,in the past 12 months…,Dichotomous,No; Yes,Harm,Wardle et al. ,"Wardle, H., Kesaite, V., Williams, R., & Volberg, R. (2022). Developing survey questions capturing gambling-related harms."
Gambling Related Cognition Scale,GRCS,Health,Mental,Positive feeling from gambling,Gambling makes me happier.,Right now,Polytomous,strongly disagree; moderately disagree; mildly disagree; neither agree nor disagree; mildly agree; moderately agree; strongly agree,Behaviour,Raylu and Oei,"Raylu, N., & Oei, T. P. (2004). The Gambling Related Cognitions Scale (GRCS): Development, confirmatory factor validation and psychometric properties. Addiction, 99(6), 757-769."
Gambling Related Cognition Scale,GRCS,Uncontrolled Gambling,Uncontrolled Gambling,Need to gamble,I can’t function without gambling.,Right now,Polytomous,strongly disagree; moderately disagree; mildly disagree; neither agree nor disagree; mildly agree; moderately agree; strongly agree,Behaviour,Raylu and Oei,"Raylu, N., & Oei, T. P. (2004). The Gambling Related Cognitions Scale (GRCS): Development, confirmatory factor validation and psychometric properties. Addiction, 99(6), 757-769."
Gambling Related Cognition Scale,GRCS,Uncontrolled Gambling,Uncontrolled Gambling,Gambling behaviour,Praying helps me win.,Right now,Polytomous,strongly disagree; moderately disagree; mildly disagree; neither agree nor disagree; mildly agree; moderately agree; strongly agree,Behaviour,Raylu and Oei,"Raylu, N., & Oei, T. P. (2004). The Gambling Related Cognitions Scale (GRCS): Development, confirmatory factor validation and psychometric properties. Addiction, 99(6), 757-769."
Gambling Related Cognition Scale,GRCS,Uncontrolled Gambling,Uncontrolled Gambling,Gambling fallacy,"Losses when gambling, are bound to be followed by a series of wins.",Right now,Polytomous,strongly disagree; moderately disagree; mildly disagree; neither agree nor disagree; mildly agree; moderately agree; strongly agree,Behaviour,Raylu and Oei,"Raylu, N., & Oei, T. P. (2004). The Gambling Related Cognitions Scale (GRCS): Development, confirmatory factor validation and psychometric properties. Addiction, 99(6), 757-769."
Gambling Related Cognition Scale,GRCS,Uncontrolled Gambling,Mental,Gambling fallacy,Relating my winnings to my skill and ability makes me continue gambling.,Right now,Polytomous,strongly disagree; moderately disagree; mildly disagree; neither agree nor disagree; mildly agree; moderately agree; strongly agree,Behaviour,Raylu and Oei,"Raylu, N., & Oei, T. P. (2004). The Gambling Related Cognitions Scale (GRCS): Development, confirmatory factor validation and psychometric properties. Addiction, 99(6), 757-769."
Gambling Related Cognition Scale,GRCS,Health,Mental,Need to gamble,Gambling makes things seem better.,Right now,Polytomous,strongly disagree; moderately disagree; mildly disagree; neither agree nor disagree; mildly agree; moderately agree; strongly agree,Behaviour,Raylu and Oei,"Raylu, N., & Oei, T. P. (2004). The Gambling Related Cognitions Scale (GRCS): Development, confirmatory factor validation and psychometric properties. Addiction, 99(6), 757-769."
Gambling Related Cognition Scale,GRCS,Uncontrolled Gambling,Mental,Need to gamble,It is difficult to stop gambling as I am so out of control.,Right now,Polytomous,strongly disagree; moderately disagree; mildly disagree; neither agree nor disagree; mildly agree; moderately agree; strongly agree,Behaviour,Raylu and Oei,"Raylu, N., & Oei, T. P. (2004). The Gambling Related Cognitions Scale (GRCS): Development, confirmatory factor validation and psychometric properties. Addiction, 99(6), 757-769."
Gambling Related Cognition Scale,GRCS,Uncontrolled Gambling,Uncontrolled Gambling,Gambling fallacy,Specific numbers and colours can help increase my chances of winning.,Right now,Polytomous,strongly disagree; moderately disagree; mildly disagree; neither agree nor disagree; mildly agree; moderately agree; strongly agree,Behaviour,Raylu and Oei,"Raylu, N., & Oei, T. P. (2004). The Gambling Related Cognitions Scale (GRCS): Development, confirmatory factor validation and psychometric properties. Addiction, 99(6), 757-769."
Gambling Related Cognition Scale,GRCS,Uncontrolled Gambling,Uncontrolled Gambling,Gambling fallacy,A series of losses will provide me with a learning experience that will help me win later.,Right now,Polytomous,strongly disagree; moderately disagree; mildly disagree; neither agree nor disagree; mildly agree; moderately agree; strongly agree,Behaviour,Raylu and Oei,"Raylu, N., & Oei, T. P. (2004). The Gambling Related Cognitions Scale (GRCS): Development, confirmatory factor validation and psychometric properties. Addiction, 99(6), 757-769."
Gambling Related Cognition Scale,GRCS,Uncontrolled Gambling,Uncontrolled Gambling,Gambling fallacy,Relating my losses to bad luck and bad circumstances makes me continue gambling.,Right now,Polytomous,strongly disagree; moderately disagree; mildly disagree; neither agree nor disagree; mildly agree; moderately agree; strongly agree,Behaviour,Raylu and Oei,"Raylu, N., & Oei, T. P. (2004). The Gambling Related Cognitions Scale (GRCS): Development, confirmatory factor validation and psychometric properties. Addiction, 99(6), 757-769."
Gambling Related Cognition Scale,GRCS,Uncontrolled Gambling,Uncontrolled Gambling,Reasons to gamble,Gambling makes the future brighter.,Right now,Polytomous,strongly disagree; moderately disagree; mildly disagree; neither agree nor disagree; mildly agree; moderately agree; strongly agree,Behaviour,Raylu and Oei,"Raylu, N., & Oei, T. P. (2004). The Gambling Related Cognitions Scale (GRCS): Development, confirmatory factor validation and psychometric properties. Addiction, 99(6), 757-769."
Gambling Related Cognition Scale,GRCS,Uncontrolled Gambling,Uncontrolled Gambling,Need to gamble,My desire to gamble is so overpowering.,Right now,Polytomous,strongly disagree; moderately disagree; mildly disagree; neither agree nor disagree; mildly agree; moderately agree; strongly agree,Behaviour,Raylu and Oei,"Raylu, N., & Oei, T. P. (2004). The Gambling Related Cognitions Scale (GRCS): Development, confirmatory factor validation and psychometric properties. Addiction, 99(6), 757-769."
Gambling Related Cognition Scale,GRCS,Uncontrolled Gambling,Uncontrolled Gambling,Gambling fallacy,I collect specific objects that help increase my chances of winning.,Right now,Polytomous,strongly disagree; moderately disagree; mildly disagree; neither agree nor disagree; mildly agree; moderately agree; strongly agree,Behaviour,Raylu and Oei,"Raylu, N., & Oei, T. P. (2004). The Gambling Related Cognitions Scale (GRCS): Development, confirmatory factor validation and psychometric properties. Addiction, 99(6), 757-769."
Gambling Related Cognition Scale,GRCS,Uncontrolled Gambling,Uncontrolled Gambling,Gambling fallacy,"When I have a win once, I will definitely win again.",Right now,Polytomous,strongly disagree; moderately disagree; mildly disagree; neither agree nor disagree; mildly agree; moderately agree; strongly agree,Behaviour,Raylu and Oei,"Raylu, N., & Oei, T. P. (2004). The Gambling Related Cognitions Scale (GRCS): Development, confirmatory factor validation and psychometric properties. Addiction, 99(6), 757-769."
Gambling Related Cognition Scale,GRCS,Uncontrolled Gambling,Uncontrolled Gambling,Gambling fallacy,Relating my losses to probability makes me continue gambling.,Right now,Polytomous,strongly disagree; moderately disagree; mildly disagree; neither agree nor disagree; mildly agree; moderately agree; strongly agree,Behaviour,Raylu and Oei,"Raylu, N., & Oei, T. P. (2004). The Gambling Related Cognitions Scale (GRCS): Development, confirmatory factor validation and psychometric properties. Addiction, 99(6), 757-769."
Gambling Related Cognition Scale,GRCS,Uncontrolled Gambling,Mental,Reasons to gamble,Having a gamble helps reduce tension and stress.,Right now,Polytomous,strongly disagree; moderately disagree; mildly disagree; neither agree nor disagree; mildly agree; moderately agree; strongly agree,Behaviour,Raylu and Oei,"Raylu, N., & Oei, T. P. (2004). The Gambling Related Cognitions Scale (GRCS): Development, confirmatory factor validation and psychometric properties. Addiction, 99(6), 757-769."
Gambling Related Cognition Scale,GRCS,Uncontrolled Gambling,Uncontrolled Gambling,Need to gamble,I’m not strong enough to stop gambling.,Right now,Polytomous,strongly disagree; moderately disagree; mildly disagree; neither agree nor disagree; mildly agree; moderately agree; strongly agree,Behaviour,Raylu and Oei,"Raylu, N., & Oei, T. P. (2004). The Gambling Related Cognitions Scale (GRCS): Development, confirmatory factor validation and psychometric properties. Addiction, 99(6), 757-769."
Gambling Related Cognition Scale,GRCS,Uncontrolled Gambling,Uncontrolled Gambling,Gambling behaviour,I have specific rituals and behaviours that increase my chances of winning.,Right now,Polytomous,strongly disagree; moderately disagree; mildly disagree; neither agree nor disagree; mildly agree; moderately agree; strongly agree,Behaviour,Raylu and Oei,"Raylu, N., & Oei, T. P. (2004). The Gambling Related Cognitions Scale (GRCS): Development, confirmatory factor validation and psychometric properties. Addiction, 99(6), 757-769."
Gambling Related Cognition Scale,GRCS,Uncontrolled Gambling,Uncontrolled Gambling,Gambling behaviour,"There are times that I feel lucky and thus, gamble those times only.",Right now,Polytomous,strongly disagree; moderately disagree; mildly disagree; neither agree nor disagree; mildly agree; moderately agree; strongly agree,Behaviour,Raylu and Oei,"Raylu, N., & Oei, T. P. (2004). The Gambling Related Cognitions Scale (GRCS): Development, confirmatory factor validation and psychometric properties. Addiction, 99(6), 757-769."
Gambling Related Cognition Scale,GRCS,Uncontrolled Gambling,Uncontrolled Gambling,Gambling fallacy,Remembering how much money I won last time makes me continue gambling.,Right now,Polytomous,strongly disagree; moderately disagree; mildly disagree; neither agree nor disagree; mildly agree; moderately agree; strongly agree,Behaviour,Raylu and Oei,"Raylu, N., & Oei, T. P. (2004). The Gambling Related Cognitions Scale (GRCS): Development, confirmatory factor validation and psychometric properties. Addiction, 99(6), 757-769."
Gambling Related Cognition Scale,GRCS,Uncontrolled Gambling,Uncontrolled Gambling,Need to gamble,I will never be able to stop gambling.,Right now,Polytomous,strongly disagree; moderately disagree; mildly disagree; neither agree nor disagree; mildly agree; moderately agree; strongly agree,Behaviour,Raylu and Oei,"Raylu, N., & Oei, T. P. (2004). The Gambling Related Cognitions Scale (GRCS): Development, confirmatory factor validation and psychometric properties. Addiction, 99(6), 757-769."
Gambling Related Cognition Scale,GRCS,Uncontrolled Gambling,Uncontrolled Gambling,Need to gamble,I have some control over predicting my gambling wins.,Right now,Polytomous,strongly disagree; moderately disagree; mildly disagree; neither agree nor disagree; mildly agree; moderately agree; strongly agree,Behaviour,Raylu and Oei,"Raylu, N., & Oei, T. P. (2004). The Gambling Related Cognitions Scale (GRCS): Development, confirmatory factor validation and psychometric properties. Addiction, 99(6), 757-769."
Gambling Related Cognition Scale,GRCS,Uncontrolled Gambling,Uncontrolled Gambling,Gambling fallacy,"If I keep changing my numbers, I have less chances of winning than if I keep the same numbers every time.",Right now,Polytomous,strongly disagree; moderately disagree; mildly disagree; neither agree nor disagree; mildly agree; moderately agree; strongly agree,Behaviour,Raylu and Oei,"Raylu, N., & Oei, T. P. (2004). The Gambling Related Cognitions Scale (GRCS): Development, confirmatory factor validation and psychometric properties. Addiction, 99(6), 757-769."
Gambling Urges Scale,GUS,Uncontrolled Gambling,Uncontrolled Gambling,Need to gamble,All I want to do now is to gamble,Right now,Polytomous,1-7 Agreement?,Behaviour,Raylu and Oei,"Raylu, N., & Oei, T. P. (2004). The gambling urge scale: development, confirmatory factor validation, and psychometric properties. Psychology of Addictive Behaviors, 18(2), 100."
Gambling Urges Scale,GUS,Uncontrolled Gambling,Uncontrolled Gambling,Need to gamble,It would be difficult to trun down a gamble at this minute,Right now,Polytomous,1-7 Agreement?,Behaviour,Raylu and Oei,"Raylu, N., & Oei, T. P. (2004). The gambling urge scale: development, confirmatory factor validation, and psychometric properties. Psychology of Addictive Behaviors, 18(2), 100."
Gambling Urges Scale,GUS,Uncontrolled Gambling,Uncontrolled Gambling,Need to gamble,having a gamble now would make things seem just perfect,Right now,Polytomous,1-7 Agreement?,Behaviour,Raylu and Oei,"Raylu, N., & Oei, T. P. (2004). The gambling urge scale: development, confirmatory factor validation, and psychometric properties. Psychology of Addictive Behaviors, 18(2), 100."
Gambling Urges Scale,GUS,Uncontrolled Gambling,Uncontrolled Gambling,Need to gamble,I want to gamble so bad that I can almost feel it,Right now,Polytomous,1-7 Agreement?,Behaviour,Raylu and Oei,"Raylu, N., & Oei, T. P. (2004). The gambling urge scale: development, confirmatory factor validation, and psychometric properties. Psychology of Addictive Behaviors, 18(2), 100."
Gambling Urges Scale,GUS,Uncontrolled Gambling,Uncontrolled Gambling,Need to gamble,Nothing would be better than having a gamble right now,Right now,Polytomous,1-7 Agreement?,Behaviour,Raylu and Oei,"Raylu, N., & Oei, T. P. (2004). The gambling urge scale: development, confirmatory factor validation, and psychometric properties. Psychology of Addictive Behaviors, 18(2), 100."
Gambling Urges Scale,GUS,Uncontrolled Gambling,Uncontrolled Gambling,Need to gamble,I crave a gamble right now,Right now,Polytomous,1-7 Agreement?,Behaviour,Raylu and Oei,"Raylu, N., & Oei, T. P. (2004). The gambling urge scale: development, confirmatory factor validation, and psychometric properties. Psychology of Addictive Behaviors, 18(2), 100."
Central Queensland University Harms Inventory,Harms,Resources,Finances,Financial crisis,Bankruptcy,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Resources,Finances,Loss of resources,"Loss of supply of utilities (electricity, gas, etc.)",Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Resources,Finances,Loss of resources,Needed emergency or temporary accommodation,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Resources,Work & Study,Extra work,Took on additional employment,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Opportunity Cost,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Resources,Finances,Financial crisis,"Loss of significant assets (e.g. car, home, business, superannuation)",Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
